district_num,alloc_B01003_001E,alloc_B03002_001E,alloc_B03002_003E,alloc_B03002_004E,alloc_B03002_012E,alloc_B15003_001E,alloc_B15003_022E,alloc_B15003_023E,alloc_B15003_024E,alloc_B15003_025E,alloc_B25003_001E,alloc_B25003_002E,alloc_pop_weight,alloc_income_wt,alloc_age_wt,total_pop,white_pct,black_pct,hispanic_pct,college_pct,owner_occ_pct,median_income,median_age,district_land_area_sqmi,pop_density
56,123596.862422,123596.862422,94249.944583,6472.656707,3798.187863,85464.633841,26875.144912,14121.500515,2220.265586,1806.643173,45240.246207,33745.642632,123596.862422,14769551364.352951,4981759.511076,123596.862422,0.762559,0.052369,0.030730,0.526809,0.745921,119497.785583,40.306521,123.748509,998.774560
57,125181.857012,125181.857012,107059.980600,3628.532428,8638.842063,89756.051883,17149.786033,7653.634063,1345.137106,893.781044,50743.747903,41190.358103,125181.857012,11256318132.781668,5470533.026856,125181.857012,0.855236,0.028986,0.069010,0.301287,0.811733,89919.724802,43.700686,613.088086,204.182498
58,117848.314315,117848.314315,75088.885207,27005.532793,9492.851157,82579.970140,11701.091884,4641.995493,754.976948,460.000000,51423.469732,33938.343649,117848.314315,6147583335.010580,4938038.626863,117848.314315,0.637166,0.229155,0.080551,0.212619,0.659978,52165.220782,41.901648,145.959612,807.403585
59,117116.932066,117116.932066,101397.588511,4399.910185,5279.000028,85997.045955,16453.860378,7530.383746,1850.000012,509.000044,50017.499250,37988.343139,117116.932066,8421466903.953330,5358452.092380,117116.932066,0.865781,0.037569,0.045075,0.306327,0.759501,71906.484873,45.753009,348.000677,336.542254
60,116566.775246,116566.775246,88825.733801,5450.403791,3185.934945,77472.658887,28877.806975,15747.510435,3856.617583,2719.886598,41912.460279,32863.521458,116566.775246,18973372000.523460,4725812.215923,116566.775246,0.762016,0.046758,0.027331,0.660902,0.784099,162768.267033,40.541674,146.007067,798.363924
61,126019.474286,126019.474286,109366.204660,3759.222634,4388.554584,84692.693752,24173.417782,10449.170871,1583.038223,1535.578352,46724.875681,36761.643694,126019.474286,14082319774.203716,5145404.623560,126019.474286,0.867852,0.029830,0.034824,0.445625,0.786768,111747.171253,40.830234,512.157039,246.056316
62,125090.000762,125090.000762,112609.000646,2088.000026,3547.000060,87998.000491,20130.000220,9719.000127,1652.000065,960.000026,51072.000276,36916.000272,125090.000762,12160292959.190784,5234145.733877,125090.000762,0.900224,0.016692,0.028356,0.368883,0.722823,97212.350188,41.843039,131.350400,952.338179
63,113986.395466,113986.395466,107301.809132,1242.065947,1799.203457,79137.256727,11090.883598,4479.812672,839.000003,305.021982,44711.853182,33632.326404,113986.395466,8895009052.727459,4721829.784337,113986.395466,0.941356,0.010897,0.015784,0.211212,0.752202,78035.707826,41.424503,596.365810,191.135028
64,123400.239936,123400.239936,101367.517926,12991.255742,2949.726753,88307.606981,11484.091270,3761.268560,797.405729,350.782464,52940.340643,36154.487033,123400.239936,6741994774.742926,5295551.733626,123400.239936,0.821453,0.105277,0.023904,0.185641,0.682929,54635.183677,42.913626,250.372701,492.866193
65,121436.285456,121436.285456,110645.301770,3305.183347,2465.283126,85489.993713,11219.173058,4980.518481,968.698368,390.022193,49719.622286,38506.372989,121436.285456,7704313325.014493,5302020.098379,121436.285456,0.911139,0.027217,0.020301,0.205386,0.774470,63443.255828,43.660921,926.751385,131.034372
66,115872.026836,115872.026836,106921.401223,1548.043719,2733.560898,81913.717328,21544.347935,8893.783065,1509.000000,979.399628,45868.699950,36657.046050,115872.026836,11937750748.237160,5070577.526807,115872.026836,0.922754,0.013360,0.023591,0.401966,0.799173,103025.303640,43.760152,253.950949,456.277195
67,119472.977414,119472.977414,110449.602563,1341.956368,2955.439133,83763.285486,14702.653202,6013.217331,782.000080,531.600438,47285.301579,37649.955396,119472.977414,9564167963.019293,5070789.461062,119472.977414,0.924474,0.011232,0.024737,0.262997,0.796230,80052.980766,42.442982,596.520551,200.283087
68,120072.986805,120072.986805,99540.952596,6309.225782,3275.572883,81724.913319,16581.007999,6887.312754,1088.863517,721.411471,45903.365616,32043.297912,120072.986805,11203854663.635731,4814851.533568,120072.986805,0.829004,0.052545,0.027280,0.309313,0.698060,93308.702996,40.099373,228.123853,526.349986
69,121711.799183,121711.799183,113506.103252,1723.110138,1827.318528,83869.219619,13796.086291,5257.028281,589.307632,248.367178,44766.701479,36377.813777,121711.799183,10573386011.687542,5117610.452408,121711.799183,0.932581,0.014157,0.015013,0.237164,0.812609,86872.317086,42.046954,981.457860,124.011233
70,116876.314474,116876.314474,94759.920788,5462.686895,4321.614089,80090.663937,18778.133281,13709.231968,2369.854157,2217.665255,47576.709757,31811.347777,116876.314474,12683109610.761320,4702033.849734,116876.314474,0.810771,0.046739,0.036976,0.462911,0.668633,108517.364428,40.230853,152.264933,767.585235
71,113521.250785,113521.250785,100226.508428,5154.668265,2450.998957,77254.974084,11502.144727,6125.653407,646.976412,976.444810,44586.528121,32211.012181,113521.250785,8048331103.739322,4769691.948999,113521.250785,0.882888,0.045407,0.021591,0.249191,0.722438,70897.132018,42.015851,837.875763,135.486973
72,121260.566325,121260.566325,106133.017737,5078.859864,2668.692412,78418.979533,13007.990210,7043.799715,664.339911,1221.301420,48222.135938,32923.310819,121260.566325,8344709808.234321,4757427.242455,121260.566325,0.875248,0.041884,0.022008,0.279746,0.682743,68816.351936,39.233094,429.451161,282.361715
73,122333.766457,122333.766457,96199.169914,13498.323863,3629.755025,82686.564746,18662.830751,7668.755406,1401.846832,874.050022,46131.328195,33234.358680,122333.766457,11886459319.036713,4870298.903472,122333.766457,0.786366,0.110340,0.029671,0.345975,0.720429,97164.173583,39.811567,228.831745,534.601380
74,115646.240515,115646.240515,93086.113821,10938.807811,4994.709138,78959.725303,8744.849296,4149.866632,529.254481,516.935602,47194.783655,31521.378100,115646.240515,7042802973.696118,4699965.457695,115646.240515,0.804921,0.094589,0.043190,0.176557,0.667900,60899.541069,40.640884,240.782502,480.293375
75,109867.912831,109867.912831,94539.039105,2322.979178,7090.247769,67681.439087,14909.400215,7494.469673,1380.674052,1387.456109,44266.340140,28570.868738,109867.912831,8860547719.917242,4142657.368289,109867.912831,0.860479,0.021143,0.064534,0.371919,0.645431,80647.274456,37.705798,593.211775,185.208584
76,125138.000826,125138.000826,105310.000771,9197.000000,2757.000000,87633.000573,9853.000184,4436.000000,886.000000,495.000033,50068.000266,34280.000214,125138.000826,7541953501.687262,5187549.831536,125138.000826,0.841551,0.073495,0.022032,0.178814,0.684669,60269.090540,41.454632,500.307945,250.121954
77,116618.000000,116618.000000,107875.000000,1303.000000,2781.000000,76835.000000,11591.000000,5631.000000,937.000000,831.000000,44192.000000,33612.000000,116618.000000,8594692619.000000,4569007.400000,116618.000000,0.925029,0.011173,0.023847,0.247153,0.760590,73699.537113,39.179264,557.018061,209.361254
78,115736.631589,115736.631589,94183.967775,10983.511043,3834.437775,78066.462219,9542.884568,4325.419637,924.983663,670.910417,46415.147921,32429.548417,115736.631589,8007597840.802436,4657537.019271,115736.631589,0.813778,0.094901,0.033131,0.198090,0.698685,69188.101735,40.242549,604.865756,191.342675
79,120033.067925,120033.067925,111261.411480,2049.089815,2200.999972,86502.954039,8872.139622,3691.616254,407.999988,427.999956,49600.500746,36287.656858,120033.067925,7581619549.274945,5300554.107241,120033.067925,0.926923,0.017071,0.018337,0.154905,0.731599,63162.757400,44.159115,865.529178,138.681712
80,125061.409041,125061.409041,113902.106058,2214.925488,2452.565885,86844.716632,12467.028975,6891.558641,978.793753,406.672084,50949.624455,37703.026016,125061.409041,9747361763.630379,5290347.990817,125061.409041,0.910769,0.017711,0.019611,0.238864,0.740006,77940.604047,42.302002,640.136178,195.366882
