district,composite_lean,gov_2018_lean,statewide_avg_2018_lean,uss_2018_lean,pre_2020_lean,gov_2022_lean,statewide_avg_2022_lean,uss_2022_lean,pre_2024_lean,uss_2024_lean,dem_votes_2018,rep_votes_2018,dem_share_2018,margin_2018,winner_2018,contested_2018,dem_votes_2020,rep_votes_2020,dem_share_2020,margin_2020,winner_2020,contested_2020,dem_votes_2022,rep_votes_2022,dem_share_2022,margin_2022,winner_2022,contested_2022,dem_votes_2024,rep_votes_2024,dem_share_2024,margin_2024,winner_2024,contested_2024,candidate_effect_2024,candidate_effect_2022,candidate_effect_2020,candidate_effect_2018
48,-0.074650,-0.075633,-0.073798,-0.077549,-0.077696,-0.073085,-0.076324,-0.067630,-0.073855,-0.072315,,,,,,False,,,,,,False,15327.000000,34390.000000,0.308285,-0.383430,R,True,20182,44717,0.310976,-0.378049,R,True,-0.057808,0.008354,,
95,-0.078905,-0.054952,-0.030584,-0.032131,-0.119147,-0.062322,-0.075071,-0.089131,-0.112954,-0.103177,,,,,,False,,,,,,False,10293.000000,30580.000000,0.251829,-0.496342,R,True,16020,32958,0.327086,-0.345829,R,True,-0.037443,-0.043847,,
46,-0.100318,-0.124227,-0.124383,-0.139531,-0.097811,-0.086470,-0.088658,-0.096842,-0.093942,-0.099829,,,,,,False,,,,,,False,13674.000000,26769.000000,0.338105,-0.323789,R,True,19235,37819,0.337137,-0.325727,R,True,-0.005979,0.063842,,
88,-0.109929,-0.092287,-0.097133,-0.050711,-0.115312,-0.121587,-0.117288,-0.099489,-0.114655,-0.107854,13482.000000,26016.000000,0.341334,-0.317333,R,True,19359.000000,32823.000000,0.370990,-0.258020,R,True,12635.000000,26609.000000,0.321960,-0.356080,R,True,17762,35367,0.334318,-0.331363,R,True,0.000813,0.057308,0.021686,-0.029487
62,-0.109972,-0.152637,-0.151654,-0.163883,-0.112600,-0.088621,-0.096260,-0.101566,-0.089253,-0.098744,,,,,,False,,,,,,False,17755.000000,31810.000000,0.358216,-0.283567,R,True,24251,42134,0.365308,-0.269383,R,True,0.031847,0.093607,,
86,-0.111888,-0.127034,-0.132256,-0.126748,-0.120487,-0.098868,-0.106373,-0.109417,-0.105367,-0.101446,11563.000000,28205.000000,0.290761,-0.418477,R,True,16635.000000,39510.000000,0.296286,-0.407427,R,True,12089.000000,26604.000000,0.312434,-0.375132,R,True,16927,37571,0.310599,-0.378803,R,True,-0.020947,0.049741,-0.051059,-0.078100
94,-0.112716,-0.104646,-0.093484,-0.088583,-0.138706,-0.090810,-0.100199,-0.126862,-0.140781,-0.137228,,,,,,False,,,,,,False,14920.000000,22716.000000,0.396429,-0.207142,R,True,16568,37516,0.306338,-0.387323,R,True,-0.024380,0.134564,,
67,-0.120466,-0.117803,-0.112336,-0.107655,-0.136879,-0.111246,-0.123150,-0.115593,-0.127294,-0.115054,,,,,,False,,,,,,False,13418.000000,31657.000000,0.297682,-0.404637,R,True,0,47103,0.000000,-1.000000,R_uncontested,False,,0.043567,,
92,-0.123701,-0.095326,-0.084313,-0.081650,-0.154724,-0.112371,-0.121554,-0.131637,-0.156618,-0.143016,,,,,,False,,,,,,False,0.000000,27513.000000,0.000000,-1.000000,R_uncontested,False,13966,35181,0.284168,-0.431664,R,True,-0.035565,,,
96,-0.126422,-0.100139,-0.053642,-0.052638,-0.163978,-0.119312,-0.114637,-0.128817,-0.174223,-0.153555,22588.000000,0.000000,1.000000,1.000000,D_uncontested,False,17104.000000,37347.000000,0.314117,-0.371765,R,True,11268.000000,27940.000000,0.287390,-0.425219,R,True,0,41434,0.000000,-1.000000,R_uncontested,False,,0.039231,-0.018694,
