district,total_active_voters,n_strong_d,n_lean_d,n_crossover,n_unaffiliated,n_lean_r,n_strong_r,n_high_propensity,n_medium_propensity,n_low_propensity,n_very_low_propensity,n_presidential_only,turnout_2020,turnout_2024,turnout_2018,turnout_2022,n_mobilization_targets,n_persuasion_targets,inactive_voters,pct_strong_d,pct_lean_d,pct_crossover,pct_unaffiliated,pct_lean_r,pct_strong_r,partisan_advantage,pct_presidential_only,pct_mobilization_targets,pct_persuasion_targets,turnout_dropoff
57,76424,4903,7611,4096,34174,14150,11490,37163,24848,8975,5438,16764,0.791662,0.899874,0.574440,0.631006,892,24852,10046,0.064155,0.099589,0.053596,0.447163,0.185151,0.150345,-0.171752,0.219355,0.011672,0.325186,0.701216
58,61810,9466,9223,4758,28055,6355,3953,27091,18878,8041,7800,13122,0.724721,0.827957,0.543278,0.570781,1745,18315,14008,0.153147,0.149215,0.076978,0.453891,0.102815,0.063954,0.135593,0.212296,0.028232,0.296311,0.689386
59,71548,7340,8383,5873,28917,11695,9340,35783,21716,8604,5445,14328,0.778442,0.889263,0.584000,0.653240,1169,21976,11147,0.102588,0.117166,0.082085,0.404162,0.163457,0.130542,-0.074244,0.200257,0.016339,0.307150,0.734585
60,77353,5007,7924,4796,33113,14934,11579,39176,23308,9548,5321,15582,0.774967,0.903818,0.593280,0.652269,1044,24438,10048,0.064729,0.102439,0.062001,0.428076,0.193063,0.149690,-0.175585,0.201440,0.013497,0.315928,0.721683
61,81926,4705,7189,4299,34543,16589,14601,41424,25148,9828,5526,16653,0.785441,0.904450,0.595501,0.648549,890,24905,10348,0.057430,0.087750,0.052474,0.421637,0.202488,0.178222,-0.235530,0.203269,0.010863,0.303994,0.717064
62,76698,2690,6059,2606,37402,15950,11991,35738,24797,10006,6157,17361,0.761271,0.889906,0.554878,0.615296,713,24991,11827,0.035073,0.078998,0.033977,0.487653,0.207958,0.156340,-0.250228,0.226355,0.009296,0.325836,0.691417
63,67114,1851,3933,1878,33612,14771,11069,28220,22653,9695,6546,16953,0.737491,0.867956,0.516256,0.563876,555,20385,11142,0.027580,0.058602,0.027982,0.500820,0.220088,0.164928,-0.298835,0.252600,0.008270,0.303737,0.649660
64,65076,10047,8384,6040,28021,7325,5259,28689,20421,8505,7461,14483,0.737753,0.845642,0.526615,0.588819,1754,19556,13064,0.154389,0.128834,0.092815,0.430589,0.112561,0.080813,0.089849,0.222555,0.026953,0.300510,0.696298
65,68800,7515,7497,5284,28351,10804,9349,32558,21808,8662,5772,14673,0.765349,0.883343,0.558270,0.629259,1292,20510,11218,0.109230,0.108968,0.076802,0.412078,0.157035,0.135887,-0.074724,0.213270,0.018779,0.298110,0.712361
66,75255,3986,6368,4226,32999,15320,12356,37157,24726,8895,4477,16514,0.800199,0.911089,0.578805,0.645791,800,25019,10020,0.052967,0.084619,0.056156,0.438496,0.203575,0.164188,-0.230177,0.219441,0.010631,0.332456,0.708812
67,69830,3386,5464,3054,31652,14016,12258,32270,24222,8756,4582,16390,0.788844,0.906172,0.547172,0.623228,671,22501,9372,0.048489,0.078247,0.043735,0.453272,0.200716,0.175541,-0.249520,0.234713,0.009609,0.322225,0.687759
68,70657,4060,6357,3247,34028,11652,11313,31149,22362,10209,6937,17147,0.736686,0.866623,0.536451,0.573531,787,21397,13050,0.057461,0.089970,0.045954,0.481594,0.164909,0.160112,-0.177590,0.242679,0.011138,0.302829,0.661800
69,68849,2850,4342,2881,29468,14829,14479,32833,22947,8327,4742,15495,0.789873,0.902381,0.572339,0.620517,595,20401,9572,0.041395,0.063066,0.041845,0.428009,0.215384,0.210301,-0.321225,0.225058,0.008642,0.296315,0.687645
70,71363,3461,6188,3151,32170,13819,12574,34003,21862,9511,5987,15259,0.751230,0.884156,0.567423,0.622704,709,20931,12361,0.048499,0.086712,0.044155,0.450794,0.193644,0.176198,-0.234631,0.213822,0.009935,0.293303,0.704292
71,64360,3301,4144,2560,27470,13250,13635,30154,20319,8404,5483,14340,0.757846,0.882955,0.564419,0.607909,528,17418,10854,0.051290,0.064388,0.039776,0.426818,0.205873,0.211855,-0.302051,0.222809,0.008204,0.270634,0.688493
72,66276,6361,7419,4343,30333,10551,7269,30343,21456,9064,5413,15150,0.753968,0.885886,0.548132,0.610055,1078,21380,11355,0.095977,0.111941,0.065529,0.457677,0.159198,0.109678,-0.060957,0.228590,0.016265,0.322590,0.688638
73,73909,3878,6976,2871,36692,12195,11297,32659,24280,10138,6832,17444,0.751208,0.870002,0.540611,0.583366,814,23746,12736,0.052470,0.094386,0.038845,0.496448,0.165000,0.152850,-0.170994,0.236020,0.011014,0.321287,0.670534
74,58840,3760,5372,2795,27502,10131,9280,25547,18799,8171,6323,14108,0.735673,0.857597,0.532682,0.565245,810,16843,10968,0.063902,0.091298,0.047502,0.467403,0.172179,0.157716,-0.174694,0.239769,0.013766,0.286251,0.659103
75,65795,4389,6839,2984,31551,11449,8583,29191,20983,9321,6300,15234,0.743430,0.859229,0.535679,0.592993,927,20161,8563,0.066707,0.103944,0.045353,0.479535,0.174010,0.130451,-0.133810,0.231537,0.014089,0.306421,0.690146
76,65790,3591,4878,2860,29527,13039,11895,30252,20864,8495,6179,14847,0.758231,0.871470,0.558064,0.592294,697,18835,11704,0.054583,0.074145,0.043472,0.448807,0.198191,0.180803,-0.250266,0.225673,0.010594,0.286290,0.679649
77,58949,2684,3840,2815,26024,12356,11230,27859,19186,7361,4543,13224,0.778079,0.889057,0.565438,0.617008,509,17899,9688,0.045531,0.065141,0.047753,0.441466,0.209605,0.190504,-0.289437,0.224330,0.008635,0.303635,0.694003
78,59588,2543,3749,1789,27639,11519,12349,27211,18615,7876,5886,13928,0.755488,0.867272,0.551470,0.582483,571,16611,11331,0.042676,0.062915,0.030023,0.463835,0.193311,0.207240,-0.294959,0.233738,0.009582,0.278764,0.671627
79,64628,2739,4447,3434,29028,12736,12244,29247,21294,8205,5882,14669,0.762286,0.873553,0.538760,0.607245,619,19592,11599,0.042381,0.068809,0.053135,0.449155,0.197066,0.189453,-0.275330,0.226976,0.009578,0.303150,0.695143
80,75550,2166,4131,2862,33240,17738,15413,34617,24500,9857,6576,17352,0.763124,0.881575,0.540702,0.609954,652,21077,11503,0.028670,0.054679,0.037882,0.439974,0.234785,0.204011,-0.355447,0.229676,0.008630,0.278981,0.691891
81,65342,2299,4332,2620,28304,15817,11970,30132,21407,8238,5565,15208,0.769321,0.886949,0.547397,0.604726,646,18389,10432,0.035184,0.066297,0.040097,0.433167,0.242065,0.183190,-0.323773,0.232745,0.009886,0.281427,0.681805
82,66400,2140,3610,2436,29264,15088,13862,30811,21232,8351,6006,15322,0.765105,0.881822,0.549006,0.602123,520,18459,10761,0.032229,0.054367,0.036687,0.440723,0.227229,0.208765,-0.349398,0.230753,0.007831,0.277997,0.682817
83,68108,2017,3766,2933,29234,13834,16324,30232,21934,9027,6915,15994,0.751160,0.858328,0.532948,0.585966,621,17910,10219,0.029615,0.055295,0.043064,0.429230,0.203119,0.239678,-0.357887,0.234833,0.009118,0.262965,0.682684
84,67348,1755,2613,2129,28515,16147,16189,33298,21368,7774,4908,14380,0.791293,0.900725,0.576142,0.640895,365,19022,9280,0.026059,0.038798,0.031612,0.423398,0.239755,0.240378,-0.415276,0.213518,0.005420,0.282443,0.711533
85,67191,1908,3190,2585,29083,14797,15628,31199,21427,8691,5874,15287,0.762766,0.883109,0.554152,0.604917,474,18520,10767,0.028397,0.047477,0.038472,0.432841,0.220223,0.232591,-0.376940,0.227516,0.007055,0.275632,0.684986
86,65177,2551,4854,2620,31783,12896,10473,28644,21018,9032,6483,15060,0.738420,0.865351,0.542216,0.576829,596,20055,11164,0.039140,0.074474,0.040198,0.487641,0.197861,0.160686,-0.244933,0.231063,0.009144,0.307701,0.666584
87,67353,2311,3793,2631,29987,14540,14091,30274,21885,8527,6667,15251,0.762208,0.856992,0.536784,0.598949,579,18694,8245,0.034312,0.056315,0.039063,0.445221,0.215878,0.209211,-0.334462,0.226434,0.008596,0.277553,0.698896
88,60601,3267,4911,3361,25668,11154,12240,28782,19328,7591,4900,13666,0.772644,0.891586,0.563027,0.614907,666,17588,11951,0.053910,0.081038,0.055461,0.423557,0.184056,0.201977,-0.251085,0.225508,0.010990,0.290226,0.689678
89,69895,5390,8236,3544,32032,12039,8654,33984,21700,8243,5968,14443,0.776035,0.877116,0.581186,0.624966,968,22426,10380,0.077116,0.117834,0.050705,0.458287,0.172244,0.123814,-0.101109,0.206639,0.013849,0.320853,0.712524
90,58027,2507,4415,2371,25924,12819,9991,24547,19319,8172,5989,14104,0.735003,0.858032,0.530184,0.558929,700,15628,11055,0.043204,0.076085,0.040860,0.446758,0.220914,0.172178,-0.273804,0.243059,0.012063,0.269323,0.651409
91,58518,1973,3548,2083,28687,12238,9989,23848,20170,8456,6044,15336,0.736269,0.861889,0.505298,0.547404,626,17454,10800,0.033716,0.060631,0.035596,0.490225,0.209132,0.170700,-0.285485,0.262073,0.010698,0.298267,0.635122
92,58792,3344,5055,2548,27678,11347,8820,25133,19476,8145,6038,14444,0.745237,0.859590,0.523354,0.566727,757,17207,11375,0.056878,0.085981,0.043339,0.470778,0.193002,0.150020,-0.200163,0.245680,0.012876,0.292676,0.659299
93,63085,2082,4161,2680,28019,13767,12376,24917,21884,9022,7262,16116,0.726306,0.842974,0.514322,0.520837,743,16300,13796,0.033003,0.065959,0.042482,0.444147,0.218229,0.196180,-0.315447,0.255465,0.011778,0.258382,0.617857
94,63625,4058,5323,3283,26974,12228,11759,28899,20442,8159,6125,13878,0.749344,0.867709,0.549218,0.602263,727,17366,11577,0.063780,0.083662,0.051599,0.423953,0.192189,0.184817,-0.229564,0.218122,0.011426,0.272943,0.694084
95,56423,4614,5085,3378,23949,10061,9336,26638,17378,7803,4604,12834,0.751786,0.888113,0.566471,0.607554,787,16085,10424,0.081775,0.090123,0.059869,0.424455,0.178314,0.165464,-0.171880,0.227460,0.013948,0.285079,0.684095
96,61322,5151,6428,4645,27298,10400,7400,27461,19813,7837,6211,13942,0.753025,0.862839,0.543378,0.586983,970,19057,12548,0.083999,0.104824,0.075748,0.445158,0.169597,0.120674,-0.101448,0.227357,0.015818,0.310769,0.680293
97,59215,2397,4316,2213,29204,11643,9442,25673,19979,7841,5722,14544,0.758321,0.865186,0.532298,0.568977,623,18843,10810,0.040480,0.072887,0.037372,0.493186,0.196622,0.159453,-0.242709,0.245613,0.010521,0.318213,0.657636
98,55682,2142,3028,2329,24533,11992,11658,24435,18593,7656,4998,13822,0.752362,0.875705,0.527208,0.583761,508,15402,10612,0.038468,0.054380,0.041827,0.440591,0.215366,0.209367,-0.331885,0.248231,0.009123,0.276606,0.666619
99,68592,4296,6160,3939,29149,12623,12425,33565,21609,8203,5215,14519,0.784188,0.890366,0.579587,0.633368,814,20771,11115,0.062631,0.089806,0.057427,0.424962,0.184030,0.181144,-0.212736,0.211672,0.011867,0.302820,0.711357
